GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A087WV00	DGKI	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WV39	RAD54L	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WVC4	PRKACB	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WVF4	CHD1	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WVM4	MTHFD1L	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WVN8	STK4	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WVT9	NME4	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WVW5	RAD54L	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WVY3	RFC2	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WVZ1	DDX3X	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WW00	UBE2D1	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WW65	ABCB7	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WW72	RAD54L	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WWA3	KIF1B	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WWB1	RET	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WWI4	HYOU1	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WWI9	SMC6	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WWX7	MAP2K5	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WXK5	ABCA2	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WXU8	DDX24	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WY49	MYO19	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WY56	AKT1	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WY58	NEK3	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WY74	CSNK2A1	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WY85	UBE2D3	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WY94	AK6	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WYD6	TAP2	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WYP8	EPHB6	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WZ06	STK3	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WZ71	DDX1	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WZL3	ALK	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WZQ9	MYO19	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WZT9	PSKH1	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087WZV0	PPIP5K2	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087X011	KIF3A	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087X054	HYOU1	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087X059	DDX27	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087X072	RECQL4	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087X0I6	MARK1	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087X0W4	ACACA	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087X114	MMAB	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087X121	DDX52	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087X135	TTLL9	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
UniProtKB	A0A087X1W5	KIFC1	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	9606	UniProt		F
